Code,CourseCode,CourseName,Section,Week,StartTime,EndTime,Room,Instructor
1021b,ACCT 2010,Principles of Accounting I,L06,Th,1030,1150,"Rm 2302, Lift 17-18","CHEN, Zhihong"
1022a,ACCT 2010,Principles of Accounting I,L07,Tu,0900,1020,"Rm 1010, LSK Bldg","CHEN, Zhihong"
1022b,ACCT 2010,Principles of Accounting I,L07,Th,0900,1020,"Rm 1010, LSK Bldg","CHEN, Zhihong"
1023a,ACCT 2010,Principles of Accounting I,L08,Tu,1330,1450,"Rm 1009, LSK Bldg","CHEN, Zhihong"
1023b,ACCT 2010,Principles of Accounting I,L08,Th,1330,1450,"Rm 1009, LSK Bldg","CHEN, Zhihong"
1024a,ACCT 2010,Principles of Accounting I,L09,Mo,0900,1020,"Rm 1010, LSK Bldg","YOU, Haifeng"
1024b,ACCT 2010,Principles of Accounting I,L09,We,0900,1020,"Rm 1010, LSK Bldg","YOU, Haifeng"
1025a,ACCT 2010,Principles of Accounting I,L10,Mo,1030,1150,"Rm 1011, LSK Bldg","YOU, Haifeng"
1025b,ACCT 2010,Principles of Accounting I,L10,We,1030,1150,"Rm 1011, LSK Bldg","YOU, Haifeng"
1026a,ACCT 2010,Principles of Accounting I,L11,Mo,1200,1320,"Rm 1014, LSK Bldg","YOU, Haifeng"
1026b,ACCT 2010,Principles of Accounting I,L11,We,1200,1320,"Rm 1014, LSK Bldg","YOU, Haifeng"
1027a,ACCT 2010,Principles of Accounting I,L12,Mo,1500,1620,"G007, LSK Bldg","LI, Xi"
1027b,ACCT 2010,Principles of Accounting I,L12,Fr,1030,1150,"G007, LSK Bldg","LI, Xi"
1028a,ACCT 2010,Principles of Accounting I,L13,Mo,1330,1450,"G007, LSK Bldg","LI, Xi"
1028b,ACCT 2010,Principles of Accounting I,L13,Fr,0900,1020,"G007, LSK Bldg","LI, Xi"
1029a,ACCT 2010,Principles of Accounting I,L14,Tu,1200,1320,"Rm 1010, LSK Bldg","CHEN, Szu Fan"
1029b,ACCT 2010,Principles of Accounting I,L14,Th,1200,1320,"Rm 1010, LSK Bldg","CHEN, Szu Fan"
1030a,ACCT 2010,Principles of Accounting I,L15,Tu,1630,1750,"Rm 1034, LSK Bldg","CHEN, Szu Fan"
1030b,ACCT 2010,Principles of Accounting I,L15,Th,1630,1750,"Rm 1034, LSK Bldg","CHEN, Szu Fan"
1031a,ACCT 2010,Principles of Accounting I,L16,Tu,1500,1620,"Rm 1034, LSK Bldg","CHEN, Szu Fan"
1031b,ACCT 2010,Principles of Accounting I,L16,Th,1500,1620,"Rm 1034, LSK Bldg","CHEN, Szu Fan"
1032a,ACCT 3020,Financial Accounting II,L1,Tu,1330,1450,"G009B, CYT Bldg","WANG, Shiheng"
1032b,ACCT 3020,Financial Accounting II,L1,Th,1330,1450,"G009B, CYT Bldg","WANG, Shiheng"
1033a,ACCT 3020,Financial Accounting II,L2,Tu,0900,1020,"Rm 1011, LSK Bldg","WANG, Shiheng"
1033b,ACCT 3020,Financial Accounting II,L2,Th,0900,1020,"Rm 1011, LSK Bldg","WANG, Shiheng"
1034a,ACCT 3020,Financial Accounting II,L3,Tu,1030,1150,"Rm 1011, LSK Bldg","WANG, Shiheng"
1034b,ACCT 3020,Financial Accounting II,L3,Th,1030,1150,"Rm 1011, LSK Bldg","WANG, Shiheng"
1035a,ACCT 3210,Advanced Management Accounting,L1,Mo,1630,1750,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1035b,ACCT 3210,Advanced Management Accounting,L1,Fr,1200,1320,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1036a,ACCT 3210,Advanced Management Accounting,L2,Mo,1330,1450,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1036b,ACCT 3210,Advanced Management Accounting,L2,Fr,0900,1020,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1037a,ACCT 3210,Advanced Management Accounting,L3,Mo,1500,1620,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1037b,ACCT 3210,Advanced Management Accounting,L3,Fr,1030,1150,"Rm 1014, LSK Bldg","ZHANG, Guochang"
1038a,ACCT 3610,Functions of Law in Society and Business,L1,Tu,1500,1620,"Rm 1014, LSK Bldg","LAM, Charles"
1038b,ACCT 3610,Functions of Law in Society and Business,L1,Th,1500,1620,"Rm 1014, LSK Bldg","LAM, Charles"
1039a,ACCT 3610,Functions of Law in Society and Business,L2,Mo,1030,1150,"Rm 1034, LSK Bldg","LAM, Charles"
1039b,ACCT 3610,Functions of Law in Society and Business,L2,We,1030,1150,"Rm 1034, LSK Bldg","LAM, Charles"
1040a,ACCT 3610,Functions of Law in Society and Business,L3,Mo,1200,1320,"Rm 1034, LSK Bldg","LAM, Charles"
1040b,ACCT 3610,Functions of Law in Society and Business,L3,We,1200,1320,"Rm 1034, LSK Bldg","LAM, Charles"
1041a,ACCT 4410,Taxation,L1,Mo,0900,1020,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1041b,ACCT 4410,Taxation,L1,We,0900,1020,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1042a,ACCT 4410,Taxation,L2,Mo,1200,1320,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1042b,ACCT 4410,Taxation,L2,We,1200,1320,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1043a,ACCT 4410,Taxation,L3,Mo,1030,1150,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1043b,ACCT 4410,Taxation,L3,We,1030,1150,"Rm 2304, Lift 17-18","MAK, Kelvin P"
1044a,ACCT 4610,Company Law,L1,Mo,1630,1750,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
1044b,ACCT 4610,Company Law,L1,Fr,1200,1320,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
1045a,ACCT 4610,Company Law,L2,Mo,1330,1450,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
1045b,ACCT 4610,Company Law,L2,Fr,0900,1020,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
1046a,ACCT 4610,Company Law,L3,Mo,1500,1620,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
1046b,ACCT 4610,Company Law,L3,Fr,1030,1150,"Rm 1034, LSK Bldg","LAI, Tai Wai David"
3659a,ACCT 7730,Empirical Research in Accounting,L1,Tu,1100,1220,"G003, CYT Bldg","HUNG, Ming Yi"
3659b,ACCT 7730,Empirical Research in Accounting,L1,Th,1100,1220,"G003, CYT Bldg","HUNG, Ming Yi"
3660a,ACCT 7730,Empirical Research in Accounting,T1,Tu,1230,1250,"G003, CYT Bldg","HUNG, Ming Yi"
3660b,ACCT 7730,Empirical Research in Accounting,T1,Th,1230,1250,"G003, CYT Bldg","HUNG, Ming Yi"
1516a,BIEN 3010,Biodesign: A Taste of Solving Real-Life Healthcare Problems,L1,Mo,0930,1020,"Rm 5508, Lift 25-26","LING, Carrie Hang-yin"
1516b,BIEN 3010,Biodesign: A Taste of Solving Real-Life Healthcare Problems,L1,We,0930,1020,"Rm 5508, Lift 25-26","LING, Carrie Hang-yin"
1517a,BIEN 3010,Biodesign: A Taste of Solving Real-Life Healthcare Problems,T1,Tu,1500,1650,"Rm 3584, Lift 27-28","LING, Carrie Hang-yin"
3678a,BIEN 5820,Fundamentals of BioMEMS and Biomedical Microdevices,L1,Th,1800,2050,"Rm 1032, LSK Bldg","YOBAS, Levent"
1047a,BIEN 6800H,Bioengineering Seminar,T1,We,1400,1450,Lecture Theater H,"HSING, I-ming"
1048a,BIEN 6940B,Quantitative Human Physiology,L1,Th,1400,1650,"Rm 5506, Lift 25-26","LING, Carrie Hang-yin"
1424a,CBME 5110,Theory and Practice in Heterogeneous Catalysis,L1,Fr,1900,2150,"Rm 2504, Lift 25-26","YEUNG, King Lun"
1426a,CBME 5780,"Environmental Management, Auditing, Licensing and Impacts",L1,Sa,1500,1750,"Rm 2504, Lift 25-26","MCKAY, Gordon"
1427a,CBME 5810,Energy Integration and Optimization,L1,Th,1900,1950,"Rm 4502, Lift 25-26","MCKAY, Gordon"
3567a,CBME 5810,Energy Integration and Optimization,T1,Th,2000,2150,"Rm 4502, Lift 25-26","MCKAY, Gordon"
1428a,CBME 5830,Electrochemical Energy Technologies,L1,We,1900,2150,"Rm 6573, Lift 29-30","SHAO, Minhua"
1429a,CBME 5860,Chemical Product Engineering,L1,Tu,1800,2050,"Rm 2406, Lift 17-18","YUE, Po Lock"
1520a,CENG 1000,Introduction to Chemical and Biomolecular Engineering,L1,Mo,1030,1150,1505,"NG, Ka Ming"
1520b,CENG 1000,Introduction to Chemical and Biomolecular Engineering,L1,We,1030,1150,1505,"NG, Ka Ming"
1522a,CENG 1600,Biotechnology and Its Business Opportunities,L1,Mo,1200,1320,"G012, LSK Bldg","SUN, Fei"
1522b,CENG 1600,Biotechnology and Its Business Opportunities,L1,We,1200,1320,"G012, LSK Bldg","SUN, Fei"
1523a,CENG 2210,Chemical Engineering Thermodynamics,L1,Mo,1500,1620,"Rm 1007, LSK Bldg","LAM, Henry Hei Ning"
1523b,CENG 2210,Chemical Engineering Thermodynamics,L1,Fr,1030,1150,"Rm 1007, LSK Bldg","LAM, Henry Hei Ning"
1524a,CENG 2210,Chemical Engineering Thermodynamics,T1,Tu,1800,1850,"Rm 4620, Lift 31-32","LAM, Henry Hei Ning"
1525a,CENG 2220,Process Fluid Mechanics,L1,We,1630,1750,"Rm 2303, Lift 17-18","CHEN, Guohua"
1525b,CENG 2220,Process Fluid Mechanics,L1,Fr,1630,1750,"Rm 2303, Lift 17-18","CHEN, Guohua"
1526a,CENG 2220,Process Fluid Mechanics,T1,We,1800,1850,"Rm 2303, Lift 17-18","CHEN, Guohua"
1527a,CENG 3120,Process Design and Integration,L1,We,1400,1550,"Rm 2465, Lift 25-26","HUI, Chi Wai"
1528a,CENG 3120,Process Design and Integration,LA1,Fr,1200,1350,"Rm 4402, Lift 17-18","HUI, Chi Wai"
1529a,CENG 3210,Separation Processes,L1,Mo,0900,1020,"Rm 2303, Lift 17-18","HU, Xijun"
1529b,CENG 3210,Separation Processes,L1,We,0900,1020,"Rm 2303, Lift 17-18","HU, Xijun"
1530a,CENG 3210,Separation Processes,T1,Fr,1500,1550,"Rm 2303, Lift 17-18","HU, Xijun"
1532a,CENG 3920,Chemical Engineering Laboratory II,T1,Mo,1030,1120,"Rm 4502, Lift 25-26","BARFORD, John Patrick"
1531a,CENG 3920,Chemical Engineering Laboratory II,LA1,Mo,1300,1750,"Rm 6117, Lift 19","BARFORD, John Patrick"
1534a,CENG 3926,Biomolecular Engineering Laboratory,T1,Mo,1030,1120,"Rm 4504, Lift 25-26","BARFORD, John Patrick"
1533a,CENG 3926,Biomolecular Engineering Laboratory,LA1,Th,1300,1750,"Rm 6117, Lift 19","BARFORD, John Patrick"
1537a,CENG 3927,Environmental Engineering Laboratory,T1,Mo,1030,1120,"Rm 4502, Lift 25-26","BARFORD, John Patrick"
1535a,CENG 3927,Environmental Engineering Laboratory,LA1,Mo,1300,1750,"Rm 6117, Lift 19","BARFORD, John Patrick"
1536a,CENG 3927,Environmental Engineering Laboratory,LA2,Tu,1300,1750,"Rm 6117, Lift 19","BARFORD, John Patrick"
1538a,CENG 4130,Plant Design and Economics,L1,Tu,1630,1750,"Rm 3007, Lift 3-4","LIU, Yuanshuai"
1538b,CENG 4130,Plant Design and Economics,L1,Th,1630,1750,"Rm 3007, Lift 3-4","LIU, Yuanshuai"
1539a,CENG 4630,Food Processing Technology,L1,Tu,1030,1150,"Rm 4503, Lift 25-26","LIU, Yuanshuai"
1539b,CENG 4630,Food Processing Technology,L1,Th,1030,1150,"Rm 4503, Lift 25-26","LIU, Yuanshuai"
1540a,CENG 4660,Introduction to Biomicrosystem,L1,Tu,0900,1020,"Rm 4502, Lift 25-26","CHAU, Ying"
1540b,CENG 4660,Introduction to Biomicrosystem,L1,Th,0900,1020,"Rm 4502, Lift 25-26","CHAU, Ying"
1541a,CENG 4670,Pharmaceutical Engineering,L1,Fr,1800,2050,"Rm 1033, LSK Bldg","LAKERVELD, Richard"
1542a,CENG 4720,Environmental Impact Assessment and Management Systems,L1,Tu,1330,1450,"Rm 4505, Lift 25-26","YUE, Po Lock"
1542b,CENG 4720,Environmental Impact Assessment and Management Systems,L1,Th,1330,1450,"Rm 4505, Lift 25-26","YUE, Po Lock"
3591a,CENG 5100,Advanced Reaction Engineering,L1,Th,1500,1750,"Rm 5560, Lift 27-28","ZHU, Shiping"
1052a,CENG 5530,Physical and Rheological Behavior of Polymers,L1,Tu,1500,1750,"Rm 1033, LSK Bldg","LUO, Zhengtang"
1053a,CENG 6000E,Electrochemical Energy Technology,L1,We,1500,1750,"Rm 1033, LSK Bldg","SHAO, Minhua"
1054a,CENG 6000F,Advanced Product and Process Design,L1,Tu,1000,1250,"Rm 1033, LSK Bldg","NG, Ka Ming"
1056a,CENG 6800H,Chemical and Biomolecular Engineering Seminar,T1,Fr,1600,1650,"Rm 4620, Lift 31-32","HU, Xijun"
1551a,CHEM 1004,Chemistry in Everyday Life,L1,Tu,1330,1450,Lecture Theater J,"CHAN, Kwan Kit Jason"
1551b,CHEM 1004,Chemistry in Everyday Life,L1,Th,1330,1450,Lecture Theater J,"CHAN, Kwan Kit Jason"
1552a,CHEM 1010,General Chemistry IA,L1,Tu,1500,1620,Lecture Theater J,"TSANG, Ming Wai Emily"
1552b,CHEM 1010,General Chemistry IA,L1,Th,1500,1620,Lecture Theater J,"TSANG, Ming Wai Emily"
1553a,CHEM 1020,General Chemistry IB,L1,Tu,0900,0950,Lecture Theater A,"LI, Xiaoyuan"
1553b,CHEM 1020,General Chemistry IB,L1,Th,0900,0950,Lecture Theater A,"LI, Xiaoyuan"
1554a,CHEM 1030,General Chemistry II,L1,Mo,0900,1020,Lecture Theater A,"LIN, Zhenyang"
1554b,CHEM 1030,General Chemistry II,L1,We,0900,1020,Lecture Theater A,"LIN, Zhenyang"
1560a,CHEM 1050,Laboratory for General Chemistry I,LA6,We,1500,1750,Rm 7161,"YIP, Wing Ping"
1562a,CHEM 1055,Laboratory for General Chemistry II,LA1,Mo,1030,1320,Rm 7161,"CHAN, Dennis Ho Wai"
1563a,CHEM 1055,Laboratory for General Chemistry II,LA2,Mo,1500,1750,Rm 7161,"CHAN, Dennis Ho Wai"
1564a,CHEM 1055,Laboratory for General Chemistry II,LA3,Tu,1030,1320,Rm 7161,"CHAN, Dennis Ho Wai"
1565a,CHEM 1055,Laboratory for General Chemistry II,LA4,Tu,1500,1750,Rm 7161,"CHAN, Dennis Ho Wai"
1566a,CHEM 1055,Laboratory for General Chemistry II,LA5,We,1030,1320,Rm 7161,"CHAN, Dennis Ho Wai"
1567a,CHEM 1055,Laboratory for General Chemistry II,LA6,Th,1030,1320,Rm 7161,"CHAN, Dennis Ho Wai"
1568a,CHEM 1055,Laboratory for General Chemistry II,LA7,Th,1500,1750,Rm 7161,"CHAN, Dennis Ho Wai"
1569a,CHEM 2111,Fundamentals of Organic Chemistry,L1,Tu,0900,1020,"Rm 3007, Lift 3-4","DAI, Wei Min"
1569b,CHEM 2111,Fundamentals of Organic Chemistry,L1,Th,0900,1020,"Rm 3007, Lift 3-4","DAI, Wei Min"
1570a,CHEM 2150,Organic Chemistry Laboratory,LA1,We,1030,1320,Rm 6124,"CHAN, Dennis Ho Wai"
1571a,CHEM 2150,Organic Chemistry Laboratory,LA2,Th,1030,1320,Rm 6124,"CHAN, Dennis Ho Wai"
1572a,CHEM 2311,Analytical Chemistry,L1,Tu,0900,1020,Lecture Theater E,"YAN, He"
1572b,CHEM 2311,Analytical Chemistry,L1,Th,0900,1020,Lecture Theater E,"YAN, He"
1573a,CHEM 2350,Analytical Chemistry Laboratory,LA1,Tu,1030,1320,Rm 6122,"TUNG, Joanne Wai Ting"
1574a,CHEM 2350,Analytical Chemistry Laboratory,LA2,Tu,1330,1620,Rm 6122,"TUNG, Joanne Wai Ting"
1575a,CHEM 2350,Analytical Chemistry Laboratory,LA3,We,1030,1320,Rm 6122,"TUNG, Joanne Wai Ting"
1576a,CHEM 3010,Great Ideas in Chemistry,L1,Tu,1500,1620,"Rm 4502, Lift 25-26","CHAN, Kwan Kit Jason"
1576b,CHEM 3010,Great Ideas in Chemistry,L1,Th,1500,1620,"Rm 4502, Lift 25-26","CHAN, Kwan Kit Jason"
1577a,CHEM 3120,Organic Chemistry II,L1,We,1630,1750,"Rm 4334, Lift 3","SUN, Jianwei"
1577b,CHEM 3120,Organic Chemistry II,L1,Fr,1630,1750,"Rm 4334, Lift 3","SUN, Jianwei"
1578a,CHEM 3220,Inorganic Chemistry II,L1,We,1500,1620,"Rm 2407, Lift 17-18","LEUNG, Wa Hung"
1578b,CHEM 3220,Inorganic Chemistry II,L1,Fr,1500,1620,"Rm 2407, Lift 17-18","LEUNG, Wa Hung"
1579a,CHEM 3320,Instrumental Analysis,L1,Mo,1330,1450,"Rm 2464, Lift 25-26","WU, Hongkai"
1579b,CHEM 3320,Instrumental Analysis,L1,Fr,0900,1020,"Rm 2464, Lift 25-26","WU, Hongkai"
1580a,CHEM 3420,Physical Chemistry II,L1,Mo,1030,1150,"Rm 2464, Lift 25-26","HUANG, Xuhui"
1580b,CHEM 3420,Physical Chemistry II,L1,We,1030,1150,"Rm 2464, Lift 25-26","HUANG, Xuhui"
1581a,CHEM 3550,Synthetic Chemistry Laboratory,LA1,Mo,1030,1420,Rm 6124,"CHAN, Dennis Ho Wai"
1582a,CHEM 3550,Synthetic Chemistry Laboratory,LA2,Tu,1030,1420,Rm 6124,"CHAN, Dennis Ho Wai"
1583a,CHEM 3555,Molecular Characterization Chemistry Laboratory,LA1,Th,1030,1420,Rm 6122,"TUNG, Joanne Wai Ting"
1584a,CHEM 3555,Molecular Characterization Chemistry Laboratory,LA2,Fr,1030,1420,Rm 6122,"TUNG, Joanne Wai Ting"
1585a,CHEM 4110,Structural Elucidation in Organic Chemistry,L1,Mo,1200,1320,"Rm 4502, Lift 25-26","TONG, Rongbiao"
1585b,CHEM 4110,Structural Elucidation in Organic Chemistry,L1,We,1200,1320,"Rm 4502, Lift 25-26","TONG, Rongbiao"
1586a,CHEM 4130,Medicinal Chemistry,L1,Mo,1500,1620,"Rm 6602, Lift 31-32","GUO, Zhihong"
1586b,CHEM 4130,Medicinal Chemistry,L1,Fr,1030,1150,"Rm 6602, Lift 31-32","GUO, Zhihong"
1587a,CHEM 4230,Materials Characterization Method,L1,Tu,1630,1750,"Rm 2302, Lift 17-18","YANG, Shihe"
1587b,CHEM 4230,Materials Characterization Method,L1,Th,1630,1750,"Rm 2302, Lift 17-18","YANG, Shihe"
1588a,CHEM 4330,Separation Science,L1,Tu,0900,1020,"Rm 2303, Lift 17-18","CHAN, Wan"
1588b,CHEM 4330,Separation Science,L1,Th,0900,1020,"Rm 2303, Lift 17-18","CHAN, Wan"
1589a,CHEM 4620,Organometallic Chemistry,L1,Mo,0900,1020,"Rm 4505, Lift 25-26","JIA, Guocheng"
1589b,CHEM 4620,Organometallic Chemistry,L1,We,0900,1020,"Rm 4505, Lift 25-26","JIA, Guocheng"
1060a,CHEM 5210,Computational Chemistry,L1,Mo,1900,2050,"Rm 4402, Lift 17-18","HUANG, Xuhui"
1061a,CHEM 5210,Computational Chemistry,LA1,Th,1900,2050,"Rm 4402, Lift 17-18","HUANG, Xuhui"
1430a,CIEM 5160,Construction Financial Management,L1,Fr,1900,2150,"G010, CYT Bldg","ZHANG, Xueqing"
3687a,CIEM 5410,Risk Assessment and Contaminated Land Cleanup,L1,We,1900,2150,"Rm 2504, Lift 25-26","LO, Irene Man Chi"
1431a,CIEM 5620,Travel Demand Analysis,L1,Mo,1900,2150,"Rm 2465, Lift 25-26","YANG, Hai"
1432a,CIEM 5770,Unsaturated Soil Mechanics and Engineering,L1,Tu,1900,2150,"Rm 2503, Lift 25-26","NG, Charles Wang Wai"
1433a,CIEM 5790,Slope Engineering and Management,L1,Sa,1430,1720,Lecture Theater F,"CHAN, Kin Sek Raymond"
1434a,CIEM 5810,"Engineering Risk, Reliability and Decision",L1,We,1900,2150,1505,"WANG, Jui Pin"
1435a,CIEM 5810,"Engineering Risk, Reliability and Decision",L2,We,1430,1720,"Rm 4620, Lift 31-32","WANG, Jui Pin"
1593a,CIVL 1100,Discovering Civil and Environmental Engineering,L1,Mo,1300,1450,Lecture Theater J,"KUANG, Jun Shang"
1595a,CIVL 1100,Discovering Civil and Environmental Engineering,LA1,Tu,1300,1450,Rm 1206A,"KUANG, Jun Shang"
1597a,CIVL 1100,Discovering Civil and Environmental Engineering,LA2,Tu,0900,1050,Rm 1206A,"KUANG, Jun Shang"
1598a,CIVL 1100,Discovering Civil and Environmental Engineering,LA3,Mo,0930,1120,Rm 1206A,"KUANG, Jun Shang"
1599a,CIVL 1100,Discovering Civil and Environmental Engineering,LA4,Mo,1500,1650,Rm 1206A,"KUANG, Jun Shang"
1600a,CIVL 1130,Monumental Structures from Ancient to Modern Times,L1,Fr,1330,1620,"Rm 2465, Lift 25-26","HU, Wei Chung"
1601a,CIVL 1140,Environmental Quality Control and Improvement,L1,We,1330,1450,"Rm 3588, Lift 27-28","SHANG, Chii"
1601b,CIVL 1140,Environmental Quality Control and Improvement,L1,Fr,1330,1450,"Rm 3588, Lift 27-28","SHANG, Chii"
1602a,CIVL 1160,Civil Engineering and Modern Society,L1,Tu,1200,1320,"LTL, CYT Bldg","CHAN, Yui Bun"
1602b,CIVL 1160,Civil Engineering and Modern Society,L1,Th,1200,1320,"LTL, CYT Bldg","CHAN, Yui Bun"
1603a,CIVL 1160,Civil Engineering and Modern Society,T1,Mo,1030,1120,"G012, LSK Bldg","CHAN, Yui Bun"
1604a,CIVL 1170,"Climate Change Risk, Mitigation and Adaptations",L1,Tu,1330,1450,"Rm 4619, Lift 31-32","LAU, Alexis Kai Hon"
1604b,CIVL 1170,"Climate Change Risk, Mitigation and Adaptations",L1,Th,1330,1450,"Rm 4619, Lift 31-32","LAU, Alexis Kai Hon"
1605a,CIVL 2110,Statics,L1,Mo,1200,1320,"Rm 2406, Lift 17-18","DIMITRAKOPOULOS, Ilias"
1605b,CIVL 2110,Statics,L1,We,1200,1320,"Rm 2406, Lift 17-18","DIMITRAKOPOULOS, Ilias"
1606a,CIVL 2110,Statics,T1,We,1800,1850,"Rm 3006, Lift 3-4","DIMITRAKOPOULOS, Ilias"
1607a,CIVL 2120,Mechanics of Materials,L1,We,1630,1750,"LTL, CYT Bldg","TSE, Kam Tim"
1607b,CIVL 2120,Mechanics of Materials,L1,Fr,1630,1750,"LTL, CYT Bldg","TSE, Kam Tim"
1609a,CIVL 2120,Mechanics of Materials,T1,Tu,1800,1850,"Rm 2303, Lift 17-18","TSE, Kam Tim"
1611a,CIVL 2120,Mechanics of Materials,T2,Tu,1630,1720,"Rm 2303, Lift 17-18","TSE, Kam Tim"
1612a,CIVL 2170,Infrastructure Systems Engineering and Management,L1,Tu,1330,1450,"LTL, CYT Bldg","YANG, Hai"
1612b,CIVL 2170,Infrastructure Systems Engineering and Management,L1,Th,1330,1450,"LTL, CYT Bldg","YANG, Hai"
1614a,CIVL 2170,Infrastructure Systems Engineering and Management,T1,Th,1800,1850,1505,"YANG, Hai"
1616a,CIVL 2170,Infrastructure Systems Engineering and Management,T2,Tu,1800,1850,"Rm 4619, Lift 31-32","YANG, Hai"
1617a,CIVL 2410,Environmental Assessment and Management,L1,We,1330,1450,"LTL, CYT Bldg","NG, Tze Ling"
1617b,CIVL 2410,Environmental Assessment and Management,L1,Fr,1330,1450,"LTL, CYT Bldg","NG, Tze Ling"
1619a,CIVL 2410,Environmental Assessment and Management,T1,Tu,1030,1120,"G010, CYT Bldg","NG, Tze Ling"
1621a,CIVL 2410,Environmental Assessment and Management,T2,Mo,1200,1250,"Rm 2303, Lift 17-18","NG, Tze Ling"
1622a,CIVL 2510,Fluid Mechanics,L1,Mo,1630,1750,"LTL, CYT Bldg","KIKKERT, Gustaaf Adriaan"
1622b,CIVL 2510,Fluid Mechanics,L1,Fr,1200,1320,"LTL, CYT Bldg","KIKKERT, Gustaaf Adriaan"
1629a,CIVL 2510,Fluid Mechanics,T1,Mo,0930,1020,Lecture Theater K,"KIKKERT, Gustaaf Adriaan"
1631a,CIVL 2510,Fluid Mechanics,T2,Mo,1500,1550,Lecture Theater K,"KIKKERT, Gustaaf Adriaan"
1624a,CIVL 2510,Fluid Mechanics,LA1,Tu,0900,1150,"Rm 1210, Lift 19","KIKKERT, Gustaaf Adriaan"
1626a,CIVL 2510,Fluid Mechanics,LA2,We,0900,1150,"Rm 1210, Lift 19","KIKKERT, Gustaaf Adriaan"
1627a,CIVL 2510,Fluid Mechanics,LA3,Mo,1200,1450,"Rm 1210, Lift 19","KIKKERT, Gustaaf Adriaan"
1628a,CIVL 2510,Fluid Mechanics,LA4,Tu,1500,1750,"Rm 1210, Lift 19","KIKKERT, Gustaaf Adriaan"
1659a,CIVL 3210,Introduction to Construction Management,L1,We,1500,1620,"LTL, CYT Bldg","CHENG, Jack Chin Pang"
1659b,CIVL 3210,Introduction to Construction Management,L1,Fr,1500,1620,"LTL, CYT Bldg","CHENG, Jack Chin Pang"
1661a,CIVL 3210,Introduction to Construction Management,T1,Mo,1200,1250,Lecture Theater K,"CHENG, Jack Chin Pang"
